Age,Conference,Date,Draft Year,Height,Player,Position,Season short,Seasons in league,Team,Weight,Real_value
26,All,1992-04-12,1987,201.0,Reggie Lewis,SF,1992,4,Boston Celtics,88.0,1.0
24,All,1992-04-05,1989,185.0,Mookie Blaylock,PG,1992,2,New Jersey Nets,86.0,1.0
26,All,1992-03-29,1987,185.0,Mark Jackson,PG,1992,4,New York Knicks,82.0,1.0
22,All,1992-03-22,1991,198.0,Larry Johnson,F,1992,0,Charlotte Hornets,113.0,1.0
28,All,1992-03-15,1985,190.0,Joe Dumars,SG,1992,6,Detroit Pistons,86.0,1.0
28,All,1992-03-08,1985,206.0,Karl Malone,PF,1992,6,Utah Jazz,120.0,1.0
25,All,1992-03-01,1988,208.0,Danny Manning,F,1992,3,Los Angeles Clippers,104.0,1.0
25,All,1992-02-23,1989,183.0,Tim Hardaway,PG,1992,2,Golden State Warriors,79.0,1.0
29,All,1992-02-16,1984,185.0,John Stockton,PG,1992,7,Utah Jazz,77.0,1.0
33,All,1992-02-02,1981,208.0,Larry Nance,PF,1992,10,Cleveland Cavaliers,93.0,1.0
24,All,1992-01-26,1989,198.0,Nick Anderson,GF,1992,2,Orlando Magic,103.0,1.0
25,All,1992-01-19,1989,183.0,Tim Hardaway,PG,1992,2,Golden State Warriors,79.0,1.0
29,All,1992-01-12,1984,198.0,Michael Jordan,SG,1992,7,Chicago Bulls,98.0,1.0
29,All,1992-01-05,1985,213.0,Patrick Ewing,C,1992,6,New York Knicks,109.0,1.0
26,All,1991-12-29,1987,203.0,Scottie Pippen,SF,1992,4,Chicago Bulls,103.0,1.0
24,All,1991-12-22,1989,206.0,Pervis Ellison,C,1992,2,Washington Bullets,95.0,1.0
30,All,1991-12-15,1986,201.0,Dennis Rodman,PF,1992,5,Detroit Pistons,95.0,1.0
30,All,1991-12-08,1983,193.0,Jeff Malone,SG,1992,8,Utah Jazz,93.0,1.0
26,All,1991-12-01,1987,216.0,David Robinson,C,1992,2,San Antonio Spurs,113.0,1.0
29,All,1991-11-24,1984,213.0,Kevin Willis,C,1992,7,Atlanta Hawks,111.0,1.0
26,All,1991-11-17,1986,213.0,Brad Daugherty,C,1992,5,Cleveland Cavaliers,111.0,1.0
28,All,1991-11-10,1985,201.0,Chris Mullin,SF,1992,6,Golden State Warriors,98.0,1.0
23,All,1993-04-25,1991,198.0,Larry Johnson,F,1993,1,Charlotte Hornets,113.0,1.0
23,All,1993-04-18,1992,208.0,Alonzo Mourning,C,1993,0,Charlotte Hornets,109.0,1.0
30,All,1993-04-11,1984,213.0,Hakeem Olajuwon,C,1993,8,Houston Rockets,116.0,1.0
30,All,1993-04-04,1984,198.0,Charles Barkley,PF,1993,8,Phoenix Suns,114.0,1.0
26,All,1993-03-28,1991,218.0,Dikembe Mutombo,C,1993,1,Denver Nuggets,118.0,1.0
30,All,1993-03-21,1985,213.0,Patrick Ewing,C,1993,7,New York Knicks,109.0,1.0
26,All,1993-03-14,1990,188.0,Rumeal Robinson,PG,1993,2,New Jersey Nets,88.0,1.0
27,All,1993-03-07,1988,211.0,Rony Seikaly,C,1993,4,Miami Heat,104.0,1.0
30,All,1993-02-28,1984,213.0,Hakeem Olajuwon,C,1993,8,Houston Rockets,116.0,1.0
